date,gameid
date,gameid
20020601,SSHD0
20020601,HHLT0
20020601,SKHT0
20020601,OBLG0
20020602,HHLT0
20020602,SKHT0
20020602,OBLG0
20020602,SSHD0
20020605,HHSS0
20020605,LGHT0
20020605,LTSK0
20020605,HDOB0
20020606,LGHT1
20020606,LGHT2
20020606,HHSS0
20020606,LTSK0
20020606,HDOB0
20020607,HDSK0
20020607,HTSS0
20020607,LTLG0
20020607,OBHH0
20020608,HDSK0
20020608,HTSS0
20020608,LTLG0
20020608,OBHH0
20020609,HDSK0
20020609,HTSS0
20020609,LTLG0
20020609,OBHH0
20020611,HHHD0
20020611,OBHT0
20020611,SKLG0
20020611,SSLT0
20020612,OBHT0
20020612,SSLT0
20020613,HHHD1
20020613,SKLG1
20020613,HHHD2
20020613,OBHT0
20020613,SSLT0
20020613,SKLG2
20020615,SKSS0
20020615,LTOB0
20020615,HTHD0
20020615,LGHH0
20020616,HTHD0
20020616,SKSS0
20020616,LTOB0
20020616,LGHH0
20020619,HHHT0
20020619,SSOB0
20020619,LGSK0
20020619,HDLT0
20020620,HHHT0
20020620,SSOB0
20020620,LGSK0
20020620,HDLT0
20020621,OBHD0
20020621,LTSS0
20020621,HTLG0
20020621,SKHH0
20020623,OBHD0
20020623,LTSS0
20020623,HTLG0
20020623,SKHH0
20020626,SKHD0
20020626,HTSS0
20020626,HHOB0
20020626,LGLT0
20020627,SKHD0
20020627,HTSS0
20020627,HHOB0
20020627,LGLT0
20020628,OBSK0
20020628,LTHT0
20020628,SSLG0
20020628,HDHH0
20020630,OBSK0
20020630,LTHT0
20020630,SSLG0
