date,away,home,gameid
20010405,LG,SK,LGSK0
20010405,HH,SS,HHSS0
20010405,HT,OB,HTOB0
20010405,LT,HD,LTHD0
20010406,HH,SS,HHSS0
20010406,LG,SK,LGSK0
20010406,HT,OB,HTOB0
20010406,LT,HD,LTHD0
20010407,HD,HT,HDHT0
20010407,OB,LG,OBLG0
20010407,SS,LT,SSLT0
20010407,SK,HH,SKHH0
20010408,HD,HT,HDHT0
20010408,OB,LG,OBLG0
20010408,SS,LT,SSLT0
20010408,SK,HH,SKHH0
20010410,OB,HD,OBHD0
20010410,HH,LG,HHLG0
20010410,LT,HT,LTHT0
20010410,SS,SK,SSSK0
20010411,LT,HT,LTHT0
20010412,SS,SK,SSSK1
20010412,HH,LG,HHLG2
20010412,LT,HT,LTHT0
20010412,OB,HD,OBHD1
20010412,HH,LG,HHLG2
20010412,SS,SK,SSSK1
20010412,OB,HD,OBHD2
20010413,HD,SK,HDSK0
20010413,LG,SS,LGSS0
20010413,LT,OB,LTOB0
20010413,HT,HH,HTHH0
20010414,LG,SS,LGSS0
20010414,HD,SK,HDSK0
20010414,HT,HH,HTHH0
20010414,LT,OB,LTOB0
20010415,HD,SK,HDSK0
20010415,LG,SS,LGSS0
20010415,LT,OB,LTOB0
20010415,HT,HH,HTHH0
20010417,HH,HD,HHHD0
20010417,LG,LT,LGLT0
20010417,SK,HT,SKHT0
20010417,SS,OB,SSOB0
20010418,SK,HT,SKHT0
20010418,HH,HD,HHHD0
20010418,LG,LT,LGLT0
20010418,SS,OB,SSOB0
20010419,HH,HD,HHHD0
20010419,SK,HT,SKHT0
20010419,SS,OB,SSOB0
20010419,LG,LT,LGLT0
20010420,HD,LT,HDLT0
20010420,HT,LG,HTLG0
20010420,OB,HH,OBHH0
20010420,SK,SS,SKSS0
20010421,HT,LG,HTLG0
20010421,SK,SS,SKSS0
20010421,HD,LT,HDLT0
20010421,OB,HH,OBHH0
20010422,OB,HH,OBHH0
20010422,HD,LT,HDLT0
20010422,SK,SS,SKSS0
20010422,HT,LG,HTLG0
20010424,HH,SK,HHSK0
20010424,LT,SS,LTSS0
20010424,OB,HT,OBHT0
20010424,HD,LG,HDLG0
20010425,HD,LG,HDLG0
20010425,LT,SS,LTSS0
20010425,HH,SK,HHSK0
20010425,OB,HT,OBHT0
20010426,HD,LG,HDLG0
20010426,HH,SK,HHSK0
20010426,LT,SS,LTSS0
20010426,OB,HT,OBHT0
20010427,SS,HD,SSHD0
20010427,LG,HH,LGHH0
20010427,HT,LT,HTLT0
20010427,SK,OB,SKOB0
20010428,HT,LT,HTLT0
20010428,SK,OB,SKOB0
20010428,SS,HD,SSHD0
20010428,LG,HH,LGHH0
20010429,SK,OB,SKOB0
20010429,SS,HD,SSHD0
20010430,LG,HH,LGHH0
20010501,LT,LG,LTLG0
20010501,HH,HT,HHHT0
20010501,SK,HD,SKHD0
20010501,OB,SS,OBSS0
20010502,HH,HT,HHHT0
20010502,OB,SS,OBSS0
20010502,LT,LG,LTLG0
20010502,SK,HD,SKHD0
20010503,HH,HT,HHHT0
20010503,OB,SS,OBSS0
20010503,LT,LG,LTLG0
20010503,SK,HD,SKHD0
20010504,HD,SS,HDSS0
20010504,HT,SK,HTSK0
20010504,LG,OB,LGOB0
20010504,LT,HH,LTHH0
20010505,LT,HH,LTHH0
20010505,HD,SS,HDSS0
20010505,LG,OB,LGOB0
20010505,HT,SK,HTSK0
20010506,LG,OB,LGOB0
20010506,LT,HH,LTHH0
20010506,HT,SK,HTSK0
20010506,HD,SS,HDSS0
20010508,SS,HT,SSHT0
20010508,HH,OB,HHOB0
20010508,LG,HD,LGHD0
20010509,SK,LT,SKLT1
20010509,SK,LT,SKLT2
20010509,SS,HT,SSHT0
20010509,HH,OB,HHOB0
20010509,LG,HD,LGHD0
20010510,SK,LT,SKLT0
20010510,SS,HT,SSHT0
20010510,HH,OB,HHOB0
20010510,LG,HD,LGHD0
20010511,HT,HD,HTHD0
20010511,HH,LT,HHLT0
20010511,OB,SK,OBSK0
20010511,SS,LG,SSLG0
20010512,HH,LT,HHLT0
20010512,OB,SK,OBSK0
20010512,SS,LG,SSLG0
20010512,HT,HD,HTHD0
20010513,OB,SK,OBSK0
20010513,SS,LG,SSLG0
20010513,HH,LT,HHLT0
20010513,HT,HD,HTHD0
20010515,LT,SS,LTSS0
20010515,HD,HH,HDHH0
20010515,OB,LG,OBLG0
20010515,SK,HT,SKHT0
20010516,HD,HH,HDHH0
20010516,OB,LG,OBLG0
20010516,SK,HT,SKHT0
20010516,LT,SS,LTSS0
20010517,HD,HH,HDHH0
20010517,SK,HT,SKHT0
20010517,LT,SS,LTSS0
20010517,OB,LG,OBLG0
20010518,LG,HT,LGHT0
20010518,HD,OB,HDOB0
20010518,SS,HH,SSHH0
20010518,LT,SK,LTSK0
20010519,LG,HT,LGHT0
20010519,LT,SK,LTSK0
20010519,HD,OB,HDOB0
20010519,SS,HH,SSHH0
20010520,SS,HH,SSHH0
20010520,LG,HT,LGHT0
20010520,LT,SK,LTSK0
20010520,HD,OB,HDOB0
20010522,HT,LT,HTLT0
20010522,SS,HD,SSHD0
20010523,OB,SK,OBSK1
20010523,HH,LG,HHLG2
20010523,HH,LG,HHLG1
20010523,HT,LT,HTLT0
20010523,SS,HD,SSHD0
20010523,OB,SK,OBSK2
20010524,SS,HD,SSHD0
20010524,HT,LT,HTLT0
20010524,HH,LG,HHLG0
20010524,OB,SK,OBSK0
20010525,HT,SS,HTSS0
20010525,SK,LG,SKLG0
20010525,HH,HD,HHHD0
20010525,OB,LT,OBLT0
20010526,HH,HD,HHHD0
20010526,SK,LG,SKLG0
20010526,OB,LT,OBLT0
20010526,HT,SS,HTSS0
20010527,HT,SS,HTSS0
20010527,SK,LG,SKLG0
20010527,OB,LT,OBLT0
20010527,HH,HD,HHHD0
20010529,LG,HT,LGHT0
20010529,SS,OB,SSOB0
20010529,LT,HH,LTHH0
20010529,HD,SK,HDSK0
20010530,HD,SK,HDSK0
20010530,SS,OB,SSOB0
20010530,LT,HH,LTHH0
20010531,SS,OB,SSOB0
20010531,LT,HH,LTHH0
20010531,LG,HT,LGHT1
20010531,HD,SK,HDSK0
20010531,LG,HT,LGHT2
20010601,HT,SK,HTSK0
20010601,HD,OB,HDOB0
20010601,SS,LT,SSLT0
20010601,LG,HH,LGHH0
20010602,HT,SK,HTSK0
20010602,HD,OB,HDOB0
20010602,SS,LT,SSLT0
20010602,LG,HH,LGHH0
20010603,LG,HH,LGHH0
20010603,SS,LT,SSLT0
20010603,HD,OB,HDOB0
20010603,HT,SK,HTSK0
20010605,HH,HT,HHHT0
20010605,OB,SS,OBSS0
20010605,SK,LG,SKLG0
20010605,LT,HD,LTHD0
20010606,HH,HT,HHHT0
20010606,OB,SS,OBSS0
20010606,SK,LG,SKLG0
20010606,LT,HD,LTHD0
20010607,HH,HT,HHHT0
20010607,OB,SS,OBSS0
20010607,SK,LG,SKLG0
20010607,LT,HD,LTHD0
20010608,SS,SK,SSSK0
20010608,LT,LG,LTLG0
20010608,HT,HD,HTHD0
20010608,OB,HH,OBHH0
20010609,SS,SK,SSSK0
20010609,LT,LG,LTLG0
20010609,HT,HD,HTHD0
20010609,OB,HH,OBHH0
20010610,SS,SK,SSSK0
20010610,LT,LG,LTLG0
20010610,HT,HD,HTHD0
20010610,OB,HH,OBHH0
20010612,LG,SS,LGSS0
20010612,SK,LT,SKLT0
20010612,HD,HH,HDHH0
20010612,HT,OB,HTOB0
20010613,HT,OB,HTOB0
20010614,HD,HH,HDHH1
20010614,LG,SS,LGSS0
20010614,HT,OB,HTOB0
20010614,HD,HH,HDHH2
20010615,HD,LT,HDLT0
20010615,HH,SK,HHSK0
20010615,SS,HT,SSHT0
20010615,LG,OB,LGOB0
20010616,HD,LT,HDLT0
20010616,HH,SK,HHSK0
20010616,SS,HT,SSHT0
20010616,LG,OB,LGOB0
20010617,HD,LT,HDLT0
20010617,HH,SK,HHSK0
20010617,SS,HT,SSHT0
20010617,LG,OB,LGOB0
20010619,LT,SK,LTSK0
20010619,HT,LG,HTLG0
20010619,OB,HD,OBHD0
20010620,OB,HD,OBHD0
20010620,HH,SS,HHSS1
20010620,LT,SK,LTSK0
20010620,HH,SS,HHSS2
20010621,HT,LG,HTLG1
20010621,HT,LG,HTLG2
20010621,HH,SS,HHSS0
20010621,LT,SK,LTSK0
20010621,OB,HD,OBHD0
20010622,SK,OB,SKOB0
20010622,HD,SS,HDSS0
20010622,LG,LT,LGLT0
20010622,HT,HH,HTHH0
20010623,HD,SS,HDSS0
20010623,HT,HH,HTHH0
20010623,SK,OB,SKOB0
20010625,HD,SS,HDSS0
20010625,SK,OB,SKOB0
20010625,HT,HH,HTHH0
20010626,LG,SK,LGSK0
20010626,LT,OB,LTOB0
20010626,SS,HH,SSHH0
20010627,SS,HH,SSHH0
20010627,HD,HT,HDHT1
20010627,HD,HT,HDHT2
20010627,LG,SK,LGSK0
20010628,LT,OB,LTOB1
20010628,LG,SK,LGSK0
20010628,HD,HT,HDHT0
20010628,SS,HH,SSHH0
20010628,LT,OB,LTOB2
20010630,SS,LG,SSLG1
20010630,SS,LG,SSLG2
20010630,HH,LT,HHLT1
20010630,HH,LT,HHLT2
20010701,SS,LG,SSLG0
20010701,HH,LT,HHLT0
20010701,SK,HD,SKHD0
20010702,SK,HD,SKHD0
