date,gameid
20050901,HHHT0
20050901,LTSS0
20050902,SSOB0
20050902,HDLT0
20050902,LGHH0
20050903,SSLG0
20050903,HDLT0
20050903,OBHH0
20050904,OBHH0
20050904,HDLT0
20050904,SSLG0
20050906,LGHT0
20050907,SKSS0
20050907,OBLT0
20050907,HTHD0
20050908,HTLG0
20050908,HHSK0
20050908,OBHD0
20050909,LTHD0
20050909,HHSK0
20050910,HTOB0
20050910,LTSK0
20050910,SSHH0
20050911,SSHH0
20050911,HTSK0
20050911,LTOB0
20050913,HTHH0
20050914,HDSS0
20050914,SKOB0
20050914,LGLT0
20050914,HTHH0
20050915,HDSS0
20050915,LGLT0
20050915,HTHH0
20050916,HDSS0
20050916,OBHT0
20050917,HHSS0
20050917,OBHT0
20050918,LGSK0
20050920,LTHH0
20050920,HDOB0
20050920,LGSS0
20050920,SKHT0
20050921,SSHT0
20050922,SSHT0
20050922,HHLG0
20050922,OBSK0
20050923,LTHT0
20050923,HHSK0
20050923,LGHD0
20050924,HHSK0
20050924,LTHT0
20050924,OBSS0
20050924,LGHD0
20050925,SKLG0
20050925,LTHH0
20050927,HDOB0
20050927,HHLT0
20050928,HTOB0
20050928,HHSS0
20050928,LGSK0
