date,gameid
20210501,SKOB0
20210501,HHLT0
20210501,LGSS0
20210501,WONC0
20210501,HTKT0
20210502,SKOB0
20210502,HHLT0
20210502,LGSS0
20210502,WONC0
20210502,HTKT0
20210505,LGOB0
20210505,HTLT0
20210505,SKNC0
20210505,KTWO0
20210505,SSHH0
20210506,LGOB0
20210506,HTLT0
20210506,SKNC0
20210506,KTWO0
20210506,SSHH0
20210507,LTSS0
20210508,HHLG0
20210508,WOSK0
20210508,LTSS0
20210508,NCKT0
20210508,OBHT0
20210509,LTSS0
20210509,HHLG1
20210509,WOSK2
20210509,NCKT1
20210509,OBHT2
20210509,HHLG1
20210509,WOSK2
20210509,NCKT1
20210509,OBHT2
20210511,WOOB0
20210511,SKLT0
20210511,SSKT0
20210511,LGHT0
20210511,NCHH0
20210512,WOOB0
20210512,SKLT0
20210512,SSKT0
20210512,LGHT0
20210512,NCHH0
20210513,WOOB0
20210513,SKLT0
20210513,SSKT0
20210513,LGHT0
20210513,NCHH0
20210514,SSLG0
20210514,OBSK0
20210514,KTLT0
20210514,HHWO0
20210514,HTNC0
20210515,HTNC0
20210515,HHWO0
20210515,SSLG0
20210515,KTLT0
20210516,HHWO0
20210517,SSLG0
20210517,OBSK0
20210518,NCLG0
20210518,WOSS0
20210518,OBKT0
20210518,SKHT0
20210518,LTHH0
20210519,NCLG0
20210519,WOSS0
20210519,OBKT0
20210519,SKHT0
20210519,LTHH0
20210520,NCLG0
20210521,LTOB0
20210521,LGSK0
20210521,HTSS0
20210521,NCWO0
20210521,KTHH0
20210522,LTOB0
20210522,LGSK0
20210522,HTSS0
20210522,NCWO0
20210522,KTHH0
20210523,LTOB0
20210523,LGSK0
20210523,HTSS0
20210523,NCWO0
20210523,KTHH0
20210526,HHOB0
20210526,LGLT0
20210526,SSNC0
20210526,SKKT0
20210526,WOHT0
20210527,HHOB0
20210527,LGLT0
20210527,SSNC0
20210527,SKKT0
20210527,WOHT0
20210528,WOLG0
20210528,OBSS0
20210528,KTHT0
20210528,SKHH0
20210529,NCLT1
20210529,WOLG0
20210529,OBSS0
20210529,KTHT0
20210529,SKHH0
20210529,NCLT2
20210530,WOLG0
20210530,NCLT0
20210530,OBSS0
20210530,KTHT0
20210530,SKHH0
