date,gameid
20210901,HTOB1
20210901,NCSK2
20210901,WOSS1
20210901,HTOB1
20210901,NCSK2
20210901,KTHH0
20210902,NCLG0
20210902,OBSK0
20210902,SSHT0
20210902,KTWO0
20210903,HHLT1
20210903,HHLT2
20210903,NCLG0
20210903,OBSK0
20210903,SSHT0
20210903,KTWO0
20210904,KTLG0
20210904,OBSS0
20210904,LTNC0
20210904,SKWO0
20210904,HTHH0
20210905,KTLG0
20210905,OBSS0
20210905,LTNC0
20210905,SKWO0
20210905,HTHH0
20210907,LTSS0
20210907,HHNC0
20210908,WOOB0
20210908,LGSK0
20210908,LTSS0
20210908,HHNC0
20210908,HTKT0
20210909,HHLG0
20210909,SKLT0
20210909,KTSS0
20210909,OBNC0
20210909,HTWO0
20210910,HHLG0
20210910,SKLT0
20210910,KTSS0
20210910,HTWO0
20210910,OBNC0
20210911,LGOB0
20210911,WOLT0
20210911,SKKT0
20210911,NCHT0
20210911,SSHH0
20210912,LGOB1
20210912,WOLT2
20210912,SKKT1
20210912,NCHT2
20210912,SSHH1
20210912,LGOB2
20210912,WOLT1
20210912,SKKT2
20210912,NCHT1
20210912,SSHH2
20210914,KTOB0
20210914,HHSK0
20210914,LGSS0
20210914,WONC0
20210914,LTHT0
20210915,LTHT1
20210915,LTHT2
20210915,KTOB0
20210915,HHSK0
20210915,LGSS0
20210915,WONC0
20210916,SKOB0
20210916,HTSS0
20210916,LGNC0
20210916,LTKT0
20210916,HHWO0
20210917,SKOB0
20210917,HTSS0
20210917,LGNC0
20210917,LTKT0
20210917,HHWO0
20210918,HTLG0
20210918,SSSK0
20210918,KTNC0
20210918,OBWO0
20210918,LTHH0
20210919,HTLG0
20210919,SSSK0
20210919,KTNC0
20210919,OBWO0
20210919,LTHH0
20210921,NCOB0
20210921,WOSK0
20210921,SSLT0
20210921,KTHT0
20210921,LGHH0
20210922,NCOB0
20210922,WOSK0
20210922,SSLT0
20210922,KTHT0
20210922,LGHH0
20210923,SSLG0
20210923,LTSK0
20210923,HHKT0
20210923,OBHT0
20210923,NCWO0
20210924,LTSK1
20210924,LTSK2
20210924,SSLG0
20210924,HHKT0
20210924,OBHT0
20210924,NCWO0
20210925,HHOB0
20210925,NCSS0
20210925,LGKT0
20210925,SKHT0
20210925,LTWO0
20210926,HHOB0
20210926,NCSS0
20210926,LGKT0
20210926,SKHT0
20210926,LTWO0
20210928,LTLG0
20210928,SKSS0
20210928,HTNC0
20210928,OBKT0
20210928,WOHH0
20210929,HTNC1
20210929,OBKT0
20210930,OBLG0
20210930,KTLT0
20210930,HHSS0
20210930,SKNC0
20210930,WOHT0
