date,gameid
20040701,LGSS0
20040701,HTSK0
20040701,LTHH0
20040702,LTHD0
20040702,HHHT0
20040702,OBSS0
20040702,SKLG0
20040703,SKLG0
20040706,SKHH0
20040706,HDLG0
20040706,OBLT0
20040706,SSHT0
20040707,SSHT0
20040707,SKHH0
20040708,OBLT1
20040708,SSHT0
20040708,HDLG0
20040708,SKHH0
20040708,OBLT2
20040709,SSHD0
20040709,HTOB0
20040709,LGHH0
20040710,LTSK0
20040710,LGHH0
20040710,HTOB0
20040710,SSHD0
20040711,HTOB0
20040711,LTSK0
20040711,SSHD0
20040711,LGHH0
20040713,SKHD0
20040713,LGLT0
20040713,HHHT0
20040713,SSOB0
20040714,SSOB0
20040714,SKHD0
20040720,HDLT0
20040720,HHSS0
20040720,HTLG0
20040720,OBSK0
20040721,OBSK0
20040721,HDLT0
20040721,HHSS0
20040721,HTLG0
20040722,HHSS0
20040723,HHHD0
20040723,LGOB0
20040723,HTSK0
20040724,LGOB0
20040724,HTSK0
20040724,SSLT0
20040724,HHHD0
20040725,LGOB0
20040725,HTSK0
20040725,SSLT0
20040725,HHHD0
20040727,SKHH0
20040727,LTOB0
20040727,HDHT0
20040727,LGSS0
20040728,LGSS0
20040728,LTOB0
20040728,SKHH0
20040729,HDHT0
20040729,LTOB0
20040729,SKHH0
20040730,OBSS0
20040730,SKLG0
20040730,HDHH0
20040731,LTHT0
20040731,OBSS0
20040731,SKLG0
20040731,HDHH0
