date,gameid
20040404,LTSS0
20040404,HTOB0
20040404,LGSK0
20040404,HHHD0
20040405,LTSS0
20040405,HTOB0
20040405,LGSK0
20040405,HHHD0
20040406,SKHH0
20040406,OBLT0
20040406,SSHT0
20040406,HDLG0
20040407,SSHT0
20040407,HDLG0
20040407,OBLT0
20040407,SKHH0
20040408,SKHH0
20040408,OBLT0
20040408,SSHT0
20040408,HDLG0
20040409,HDHT0
20040409,LTLG0
20040409,OBSK0
20040409,SSHH0
20040410,HDHT0
20040410,LTLG0
20040410,OBSK0
20040410,SSHH0
20040411,HDHT0
20040411,LTLG0
20040411,OBSK0
20040411,SSHH0
20040413,LTHD0
20040413,HTSK0
20040413,HHOB0
20040413,LGSS0
20040414,LGSS0
20040414,HHOB0
20040414,HTSK0
20040414,LTHD0
20040415,LGSS0
20040415,HHOB0
20040415,HTSK0
20040415,LTHD0
20040416,OBSS0
20040416,HTLG0
20040416,SKLT0
20040416,HDHH0
20040417,HTLG0
20040417,HDHH0
20040417,OBSS0
20040417,SKLT0
20040418,OBSS0
20040418,HTLG0
20040418,SKLT0
20040418,HDHH0
20040420,LTHT0
20040420,LGOB0
20040420,HHSK0
20040420,SSHD0
20040421,LGOB0
20040421,SSHD0
20040421,LTHT0
20040421,HHSK0
20040422,HHSK0
20040422,LGOB0
20040422,LTHT0
20040422,SSHD0
20040423,HHSS0
20040423,SKHT0
20040423,HDOB0
20040423,LGLT0
20040424,HHSS0
20040424,SKHT0
20040424,HDOB0
20040424,LGLT0
20040425,HHSS0
20040425,SKHT0
20040425,HDOB0
20040425,LGLT0
20040427,OBHH0
20040427,HTHD0
20040427,SKLG0
20040428,SSLT1
20040428,SSLT2
20040428,HTHD0
20040428,OBHH0
20040428,SKLG0
20040429,SKLG0
20040429,SSLT0
20040429,HTHD0
20040429,OBHH0
20040430,SSOB0
20040430,LGHT0
20040430,HDSK0
20040430,LTHH0
