date,gameid
20180324,LGNC0
20180324,SSOB0
20180324,LTSK0
20180324,KTHT0
20180324,HHWO0
20180325,LGNC0
20180325,SSOB0
20180325,LTSK0
20180325,KTHT0
20180325,HHWO0
20180327,HHNC0
20180327,LTOB0
20180327,KTSK0
20180327,SSHT0
20180327,LGWO0
20180328,HHNC0
20180328,LTOB0
20180328,KTSK0
20180328,SSHT0
20180328,LGWO0
20180329,HHNC0
20180329,LTOB0
20180329,KTSK0
20180329,SSHT0
20180329,LGWO0
20180330,HTLG0
20180330,NCLT0
20180330,WOSS0
20180330,SKHH0
20180330,OBKT0
20180331,HTLG0
20180331,NCLT0
20180331,WOSS0
20180331,OBKT0
20180331,SKHH0
