date,gameid
20010801,OBSS0
20010802,HTSK0
20010802,LTLG0
20010802,HDHH0
20010804,SSHD0
20010804,HHOB0
20010804,LGSK0
20010804,HTLT0
20010805,LGSK0
20010805,HHOB0
20010805,HTLT0
20010805,SSHD0
20010807,SKHT0
20010808,HDOB0
20010808,HHLT0
20010808,SKHT0
20010809,LGSS0
20010809,SKHT0
20010809,HDOB0
20010809,HHLT0
20010810,SKSS0
20010810,HTLG0
20010810,LTHD0
20010810,OBHH0
20010811,SKSS0
20010811,HTLG0
20010811,LTHD0
20010811,OBHH0
20010812,HTLG0
20010812,SKSS0
20010812,LTHD0
20010812,OBHH0
20010814,HDSK0
20010814,SSOB0
20010814,LGLT0
20010815,HDSK0
20010815,LGLT0
20010815,HTHH0
20010816,HTHH0
20010816,LGLT0
20010816,SSOB0
20010817,OBSK0
20010817,HHSS0
20010817,LTHT0
20010818,HHSS0
20010818,LTHT0
20010818,OBSK0
20010818,HDLG0
20010819,OBSK0
20010819,LTHT0
20010819,HDLG0
20010819,HHSS0
20010821,SSHT0
20010821,LGOB0
20010821,SKLT0
20010821,HHHD0
20010822,HHHD0
20010822,SKLT0
20010822,SSHT0
20010822,LGOB0
20010823,LGOB0
20010823,SKLT0
20010824,HTHD0
20010825,HTHD0
20010825,LTOB0
20010825,LGHH0
20010825,SSSK0
20010826,LGHH0
20010826,SSSK0
20010826,LTOB0
20010826,HTHD0
20010828,LTSS0
20010828,HDLG0
20010828,SKHH0
20010829,LTSS0
20010829,OBHT0
20010829,HDLG0
20010829,SKHH0
20010830,OBHT0
20010830,SKHH0
