date,gameid
20010501,LTLG0
20010501,HHHT0
20010501,SKHD0
20010501,OBSS0
20010502,HHHT0
20010502,OBSS0
20010502,LTLG0
20010502,SKHD0
20010503,HHHT0
20010503,OBSS0
20010503,LTLG0
20010503,SKHD0
20010504,HDSS0
20010504,HTSK0
20010504,LGOB0
20010504,LTHH0
20010505,LTHH0
20010505,HDSS0
20010505,LGOB0
20010505,HTSK0
20010506,LGOB0
20010506,LTHH0
20010506,HTSK0
20010506,HDSS0
20010508,SSHT0
20010508,HHOB0
20010508,LGHD0
20010509,SKLT1
20010509,SKLT2
20010509,SSHT0
20010509,HHOB0
20010509,LGHD0
20010510,SKLT0
20010510,SSHT0
20010510,HHOB0
20010510,LGHD0
20010511,HTHD0
20010511,HHLT0
20010511,OBSK0
20010511,SSLG0
20010512,HHLT0
20010512,OBSK0
20010512,SSLG0
20010512,HTHD0
20010513,OBSK0
20010513,SSLG0
20010513,HHLT0
20010513,HTHD0
20010515,LTSS0
20010515,HDHH0
20010515,OBLG0
20010515,SKHT0
20010516,HDHH0
20010516,OBLG0
20010516,SKHT0
20010516,LTSS0
20010517,HDHH0
20010517,SKHT0
20010517,LTSS0
20010517,OBLG0
20010518,LGHT0
20010518,HDOB0
20010518,SSHH0
20010518,LTSK0
20010519,LGHT0
20010519,LTSK0
20010519,HDOB0
20010519,SSHH0
20010520,SSHH0
20010520,LGHT0
20010520,LTSK0
20010520,HDOB0
20010522,HTLT0
20010522,SSHD0
20010523,OBSK1
20010523,HHLG2
20010523,HHLG1
20010523,HTLT0
20010523,SSHD0
20010523,OBSK2
20010524,SSHD0
20010524,HTLT0
20010524,HHLG0
20010524,OBSK0
20010525,HTSS0
20010525,SKLG0
20010525,HHHD0
20010525,OBLT0
20010526,HHHD0
20010526,SKLG0
20010526,OBLT0
20010526,HTSS0
20010527,HTSS0
20010527,SKLG0
20010527,OBLT0
20010527,HHHD0
20010529,LGHT0
20010529,SSOB0
20010529,LTHH0
20010529,HDSK0
20010530,HDSK0
20010530,SSOB0
20010530,LTHH0
20010531,SSOB0
20010531,LTHH0
20010531,LGHT1
20010531,HDSK0
20010531,LGHT2
