date,gameid
20170901,WOLG0
20170901,SSSK0
20170901,NCLT0
20170901,OBHT0
20170901,KTHH0
20170902,LGNC0
20170902,SSOB0
20170902,HHLT0
20170902,SKKT0
20170902,HTWO0
20170903,LGNC0
20170903,SSOB0
20170903,HHLT0
20170903,SKKT0
20170903,HTWO0
20170905,HTLG0
20170905,LTSK0
20170905,NCSS0
20170905,WOKT0
20170905,OBHH0
20170906,HTLG0
20170906,WOKT0
20170906,OBHH0
20170907,SKNC0
20170907,KTOB0
20170907,SSLT0
20170907,HHHT0
20170907,LGWO0
20170908,SKNC0
20170908,KTOB0
20170908,SSLT0
20170908,HHHT0
20170908,LGWO0
20170909,OBLG0
20170909,WOSK0
20170909,LTKT0
20170909,SSHT0
20170909,NCHH0
20170910,OBLG0
20170910,WOSK0
20170910,LTKT0
20170910,SSHT0
20170910,NCHH0
20170912,OBNC0
20170912,LTLG0
20170912,HTSK0
20170912,HHSS0
20170912,KTWO0
20170913,OBNC0
20170913,LTLG0
20170913,HTSK0
20170913,HHSS0
20170913,KTWO0
20170914,SSNC0
20170914,SKOB0
20170914,HTLT0
20170914,LGKT0
20170914,WOHH0
20170915,SSNC0
20170915,SKOB0
20170915,HTLT0
20170915,LGKT0
20170915,WOHH0
20170916,WONC0
20170916,HHLG0
20170916,SKLT0
20170916,OBSS0
20170916,KTHT0
20170917,WONC0
20170917,HHLG0
20170917,SKLT0
20170917,OBSS0
20170917,KTHT0
20170919,KTLG0
20170919,OBLT0
20170919,SKHT0
20170920,OBNC0
20170920,HHLG0
20170920,SKHT0
20170921,LGSS0
20170921,WOKT0
20170922,LGSS0
20170922,OBHT0
20170922,LTHH0
20170923,LGNC0
20170923,WOLT0
20170923,KTHT0
20170923,SSHH0
20170924,LGNC0
20170924,KTOB0
20170924,HHHT0
20170926,HHLT0
20170926,LGHT0
20170927,NCSS0
20170927,OBKT0
20170928,LGKT0
20170928,HTHH0
20170929,WONC0
20170929,OBLG0
20170929,LTSK0
20170929,HTHH0
20170930,WONC0
20170930,SSLG0
20170930,SKHH0
