date,gameid
20070902,HHLG0
20070902,OBLT0
20070902,SSSK0
20070904,LGHD0
20070904,HTOB0
20070905,HDLT0
20070907,HDSS0
20070907,SKLG0
20070907,HTHH0
20070908,SSLG0
20070908,HHSK0
20070908,OBLT0
20070909,SSLG0
20070909,OBLT0
20070909,HDHH0
20070911,HHHT0
20070911,LTLG0
20070911,OBHD0
20070912,OBHD0
20070912,LGHH0
20070912,LTSK0
20070913,HHSS0
20070913,LGHT0
20070913,LTHD0
20070915,HHOB0
20070915,HDSK0
20070918,HHHD0
20070918,SSHT0
20070918,OBLG0
20070920,LGLT0
20070920,SSSK0
20070920,OBHD0
20070921,LGLT0
20070921,OBHD0
20070921,SKHH0
20070922,HTHD0
20070922,LGLT0
20070922,SSOB0
20070923,SSSK0
20070925,OBHT0
20070925,SSHH0
20070926,OBHT0
20070926,SKLG0
20070926,SSHH0
20070927,HDHT0
20070927,SSHH0
20070928,HDHT0
20070928,SKLG0
20070929,LTSS0
20070929,HTHH0
20070930,HDSS0
20070930,HTHH0
