date,gameid
20060701,SKLG0
20060702,SSHT0
20060702,SKLG0
20060702,OBLT0
20060702,HDHH0
20060705,SKSS0
20060705,HTOB0
20060705,LTHD0
20060705,LGHH0
20060706,SKSS0
20060706,HTOB0
20060706,LGHH0
20060707,OBSK0
20060707,LTLG0
20060707,HDHT0
20060707,HHSS0
20060708,LTLG0
20060708,OBSK0
20060709,HDHT0
20060709,LTLG0
20060709,OBSK0
20060711,HDOB0
20060711,SSSK0
20060712,LGHT0
20060713,SSSK0
20060713,HHLT0
20060713,LGHT0
20060713,HDOB0
20060714,SKHH0
20060714,LGHD0
20060714,HTOB0
20060714,SSLT0
20060715,SSLT0
20060715,LGHD0
20060715,SKHH0
20060716,SSLT0
20060718,OBSS0
20060719,SKLG0
20060719,HHHD0
20060720,OBSS0
20060725,HDSK0
20060725,HTSS0
20060725,OBLG0
20060725,LTHH0
20060726,HDSK0
20060726,OBLG0
20060727,HTSS0
20060728,SKHT0
20060728,LGLT0
20060729,SKHT0
20060729,HHOB0
20060730,SKHT0
20060730,HHOB0
20060730,LGLT0
20060730,SSHD0
