date,gameid
20060502,LGHH0
20060502,SKSS0
20060502,HTOB0
20060502,LTHD0
20060503,LGHH0
20060503,LTHD0
20060503,SKSS0
20060503,HTOB0
20060504,SKSS0
20060504,HTOB0
20060504,LTHD0
20060504,LGHH0
20060505,LTSK0
20060505,HDSS0
20060505,HHHT0
20060505,OBLG0
20060507,LTSK0
20060507,OBLG0
20060507,HDSS0
20060507,HHHT0
20060509,HDHH0
20060509,OBLT0
20060509,SSLG0
20060509,HTSK0
20060510,SSLG0
20060510,HTSK0
20060511,SSLG0
20060511,HTSK0
20060511,OBLT0
20060511,HDHH0
20060512,LGHD0
20060512,HTSS0
20060512,SKOB0
20060512,LTHH0
20060513,LTHH0
20060513,LGHD0
20060513,HTSS0
20060513,SKOB0
20060514,LTHH0
20060514,HTSS0
20060514,SKOB0
20060514,LGHD0
20060516,LTLG0
20060516,HHSK0
20060516,HDHT0
20060516,OBSS0
20060517,LTLG0
20060517,HHSK0
20060517,HDHT0
20060517,OBSS0
20060518,HHSK0
20060518,LTLG0
20060518,OBSS0
20060518,HDHT0
20060519,HHOB0
20060519,SKHD0
20060520,LGHT0
20060520,HHOB0
20060520,SSLT0
20060520,SKHD0
20060521,LGHT0
20060521,HHOB0
20060521,SSLT0
20060521,SKHD0
20060523,SSHH0
20060523,OBHD0
20060523,SKLG0
20060523,HTLT0
20060524,SKLG0
20060524,HTLT0
20060524,OBHD0
20060524,SSHH0
20060525,SKLG0
20060525,HTLT0
20060525,OBHD0
20060525,SSHH0
20060526,LTHH0
20060526,OBSS0
20060526,HDLG0
20060526,HTSK0
20060528,LTHH0
20060528,HTSK0
20060528,OBSS0
20060528,HDLG0
20060530,LGHT0
20060530,HHOB0
20060530,HDSK0
20060530,SSLT0
20060531,LGHT0
20060531,HHOB0
20060531,HDSK0
20060531,SSLT0
