date,gameid
20160802,LGOB0
20160802,HHHT0
20160803,LGOB0
20160803,SSSK0
20160803,WOLT0
20160803,HHHT0
20160804,KTNC0
20160804,LGOB0
20160804,SSSK0
20160804,WOLT0
20160804,HHHT0
20160805,KTLG0
20160805,OBLT0
20160805,HTSS0
20160805,SKWO0
20160805,NCHH0
20160806,KTLG0
20160806,OBLT0
20160806,HTSS0
20160806,SKWO0
20160806,NCHH0
20160807,KTLG0
20160807,OBLT0
20160807,HTSS0
20160807,SKWO0
20160807,NCHH0
20160809,LTNC0
20160809,HTOB0
20160809,LGSK0
20160809,WOKT0
20160809,SSHH0
20160810,LTNC0
20160810,HTOB0
20160810,LGSK0
20160810,WOKT0
20160810,SSHH0
20160811,NCLG0
20160811,KTSK0
20160811,OBSS0
20160811,HTWO0
20160811,HHLT0
20160812,NCLG0
20160812,KTSK0
20160812,OBSS0
20160812,HTWO0
20160812,HHLT0
20160813,KTNC0
20160813,WOOB0
20160813,LTSK0
20160813,LGSS0
20160813,HHHT0
20160814,KTNC0
20160814,WOOB0
20160814,LTSK0
20160814,LGSS0
20160814,HHHT0
20160816,SSNC0
20160816,SKLG0
20160816,KTHT0
20160816,LTWO0
20160816,OBHH0
20160817,SSNC0
20160817,SKLG0
20160817,LTWO0
20160817,OBHH0
20160818,HHLG0
20160818,OBSK0
20160818,HTLT0
20160818,SSKT0
20160818,NCWO0
20160819,HHLG0
20160819,OBSK0
20160819,HTLT0
20160819,SSKT0
20160819,NCWO0
20160820,NCOB0
20160820,SKLT0
20160820,HHKT0
20160820,LGHT0
20160820,SSWO0
20160821,NCOB0
20160821,SKLT0
20160821,HHKT0
20160821,LGHT0
20160821,SSWO0
20160823,HTNC0
20160823,LGOB0
20160823,SKSS0
20160823,KTLT0
20160824,HTNC0
20160824,LGOB0
20160824,SKSS0
20160824,WOHH0
20160824,KTLT0
20160825,SKKT0
20160825,SSHT0
20160825,LGWO0
20160825,NCHH0
20160826,LTOB0
20160826,SKKT0
20160826,LGWO0
20160826,NCHH0
20160827,WONC0
20160827,KTLG0
20160827,HHSK0
20160827,LTSS0
20160827,OBHT0
20160828,KTLG0
20160828,HHSK0
20160828,OBHT0
20160830,HHOB0
20160830,LGLT0
20160830,WOSS0
20160830,NCKT0
20160830,SKHT0
20160831,LGLT0
20160831,WOSS0
20160831,NCKT0
20160831,SKHT0
