date,gameid
20030701,SSOB0
20030701,LGSK0
20030701,HDHH0
20030702,HTLT1
20030702,HTLT2
20030702,SSOB0
20030702,LGSK0
20030702,HDHH0
20030703,SSOB0
20030703,LGSK0
20030704,LTSK0
20030704,HDLG0
20030705,HHSS0
20030705,HDLG0
20030705,LTSK0
20030706,HDLG0
20030706,LTSK0
20030708,LTHD0
20030708,SKOB0
20030708,LGHH0
20030710,LTHD1
20030710,SKOB2
20030710,SKOB1
20030710,LTHD2
20030711,HTLG0
20030711,HDSK0
20030711,SSHH0
20030712,SSHH0
20030713,HTLG1
20030713,HDSK1
20030713,HTLG2
20030713,HDSK2
20030719,LGSS0
20030719,SKHT0
20030719,HDOB0
20030719,LTHH0
20030720,SKHT0
20030722,HTHH0
20030723,HDLT0
20030723,OBSS0
20030723,SKLG0
20030723,HTHH0
20030724,HTHH0
20030724,HDLT0
20030724,SKLG0
20030724,OBSS0
20030725,OBLG0
20030725,SSSK0
20030725,HTLT0
20030725,HHHD0
20030726,HTLT0
20030726,OBLG0
20030726,SSSK0
20030726,HHHD0
20030727,HTLT0
20030729,LTSS0
20030729,SKHD0
20030729,LGHT0
20030729,HHOB0
20030730,SKHD0
20030730,HHOB0
20030730,LTSS0
20030730,LGHT0
20030731,SKHD0
20030731,LGHT0
20030731,LTSS0
20030731,HHOB0
